Student_id,COMPILER DESIGN,OBJECT ORIENTED ANALYSIS AND DESIGN,MACHINE LEARNING,"ARTIFICIAL INTELLIGENCE TOOLS AND TECHNIQUES
","AWS CLOUD PRACTITIONER
",MACHINE LEARNING LAB,OBJECT ORIENTED ANALYSIS AND DESIGN,COMPILER DESIGN LAB,WEB DESIGN AND DEVELOPMENT,COMMUNITY SERVICE PROJECT,FULL STACK DEVELOPMENT,SGPA,CGPA
21A21A05C1,A,C,A,A+,A,A+,A,A+,A+,A+,,9.24,9.28
21A21A05C2,C,D,C,C,B,A,A+,A,A+,A+,,8.12,
21A21A05C3,A,B,A+,A,,A+,A+,A+,A+,A+,A,9.41,8.71
21A21A05C4,D,C,B,C,C,A+,A+,A,A+,A+,,8.18,7.31
21A21A05C6,E,E,D,F,F,A+,A,A+,A,A+,,,
21A21A05C7,E,E,D,E,B,A+,A,A,A+,A+,,7.41,
21A21A05C8,B,C,A,C,,A+,A+,A+,A+,A+,A,8.82,8.4
21A21A05C9,A,C,B,B,,A+,A+,A+,A+,A+,B,8.82,8.62
21A21A05D0,C,C,B,B,B,A+,A+,A,A+,A+,,8.53,8.38
21A21A05D1,B,C,B,B,B,A+,A,A,A+,A+,,8.59,7.94
21A21A05D2,D,B,A,B,C,A+,A+,A+,A+,A+,,8.59,7.24
21A21A05D3,E,C,E,D,,A,A+,A,A,A+,B,7.57,
21A21A05D4,D,C,B,D,,A+,A+,A+,A+,A+,C,8.12,7.87
21A21A05D5,D,C,C,D,,A+,A+,A+,A+,A+,B,8.12,7.89
21A21A05D6,A,A,A,C,A,A+,A+,A+,A+,A+,,9.18,9.08
21A21A05D7,C,B,B,D,,A+,A+,A+,A,A+,A,8.51,7.66
21A21A05D8,B,A+,A,C,,A+,A+,A+,A,A+,A+,9.22,8.94
21A21A05D9,C,B,B,C,B,A,A+,A+,A+,A+,,8.53,8.32
21A21A05E0,B,B,B,E,C,A,A+,A+,A+,A+,,8.29,7.59
21A21A05E1,C,A,B,B,A,A,A+,A+,A+,A+,,8.88,8.24
21A21A05E2,B,C,B,C,A,A+,A+,A+,A+,A+,,8.71,8.51
21A21A05E3,A,B,B,F(Ab),,A,A+,A+,A,A+,B,,
21A21A05E4,C,D,C,C,,A,A+,A+,A+,A+,B,8.18,7.64
21A21A05E5,B,C,B,B,,A,A+,A+,A+,A+,A,8.76,8.7
21A21A05E6,B,C,B,C,,A,A+,A+,A+,A+,C,8.41,8.1
21A21A05E7,B,B,B,B,A+,A+,A+,A+,A+,A+,,9.06,8.87
21A21A05E8,C,D,C,C,,A+,A+,A+,A+,A+,D,8,7.89
21A21A05E9,E,D,D,E,,A,A+,A+,A,A+,D,7.27,7.26
21A21A05F0,D,C,B,D,B,A+,A+,A+,A,A+,,8.16,
21A21A05F1,E,D,E,D,,A,A+,A+,A,A+,F,,
21A21A05F2,A,C,B,A,,A,A+,A+,A+,A+,C,8.76,8.09
21A21A05F3,A,C,B,C,,A+,A+,A+,A,A+,B,8.63,8.86
21A21A05F4,A,A,B,B,A,A+,A+,A+,A,A+,,9.1,8.74
21A21A05F5,E,E,E,F,,A,A+,A,A,A+,F,,
21A21A05F6,C,D,C,D,,A,A+,A+,A+,A+,D,7.82,7.76
21A21A05F7,A,B,C,C,,A,A+,A+,A+,A+,C,8.53,8.62
21A21A05F8,F,E,F,E,,A,A+,A,B,A+,F,,
21A21A05F9,E,D,D,E,,A,A+,A+,A+,A+,F,,
21A21A05G0,F,E,F,F,F,B,A+,A,A,A+,,,
21A21A05G1,A,C,B,C,,A+,A+,A+,A+,A+,B,8.71,8.93
21A21A05G2,C,B,C,D,,A,A+,A+,A+,A+,C,8.18,8.11
21A21A05G3,A,A,A,A,,A+,A+,A+,A+,A+,B,9.29,9.33
21A21A05G4,F,D,D,F,C,A,A+,A,A+,A+,,,
21A21A05G5,A+,A,A,A,,A+,A+,A+,A+,A+,A,9.53,9.43
21A21A05G6,D,C,B,E,,A,A+,A+,A+,A+,B,8.06,8.16
21A21A05G7,C,B,C,D,C,A,A+,A+,A,A+,,8.1,8.47
21A21A05G9,B,B,A,A,,A+,A+,A+,A,A+,A,9.1,9.33
21A21A05H0,B,B,A,A,,A+,A+,A+,A,A+,A,9.1,9.23
21A21A05H1,C,A,A,A,,A+,A+,A+,A+,A+,A,9.18,9.52
21A21A05H2,B,B,A,B,,A,A+,A+,A,A+,A,8.92,9.09
21A21A05H3,C,C,C,D,,A,A+,A+,A,A+,C,7.98,7.4
21A21A05H4,F,D,E,C,,A,A+,A+,A,A+,F,,
21A21A05H5,A,A,A,A,,A,A+,A+,A+,A+,A,9.35,9.45
21A21A05H6,E,D,C,F,,A,A+,A+,A+,A+,D,,
21A21A05H7,B,B,B,B,,A,A+,A+,A+,A+,A,8.88,8.97
21A21A05H8,E,D,C,D,,A,A+,A+,A,A+,B,7.75,7.13
21A21A05H9,D,D,C,D,,A,A+,A+,A+,A+,D,7.71,
21A21A05I0,A,A,A,B,,A+,A+,A+,A+,A+,A+,9.41,9.12
21A21A05I1,C,C,B,C,,A+,A+,A+,A,A+,B,8.39,7.79
21A21A05I2,D,C,C,D,C,A,A+,A+,A,A+,,7.86,6.83
21A21A05I4,D,B,B,D,,A,A+,A,A+,A+,C,8.12,
21A21A05I6,E,D,E,E,,A,A+,A+,A+,A+,F,,
21A21A05I7,A,B,B,C,,A+,A+,A+,A+,A+,A,8.94,8.81
21A21A05I8,A,B,A,B,,A+,A+,A,A+,A+,A,9.12,8.93
21A21A05I9,C,B,C,C,,A+,A+,A+,A+,A+,B,8.47,8.47
21A21A05J0,C,C,C,C,,A+,A+,A+,A+,A+,C,8.24,8.33
21A21A05J1,A,B,A,B,,A,A+,A+,A+,A+,A,9.12,7.69
21A21A05J2,B,A,B,B,,A+,A+,A+,A+,A+,B,8.94,8.88
21A21A05J3,B,B,B,D,,A+,A+,A+,A,A+,B,8.51,8.21
21A21A05J4,A,A,A,A,,A+,A+,A+,A+,A+,A,9.41,9.59
21A21A05J5,C,C,B,C,,A+,A+,A+,A+,A+,B,8.47,7.88
21A21A05J6,B,B,B,C,,A+,A+,A+,A,A+,B,8.63,8.66
